SentimentText,label,language,urgency
"@RailMinIndia My PNR is 8348062961, I am in way but there is no water in toilet and mess is everywhere in coach. please provide basic facil.",3,0,0
@sureshpprabhu @RailMinIndia AC not working in prayag lucknow intercity today which departed from prayag at 3.45 pm..staff not helping us,7,0,0
@RailMinIndia I'm traveling to chennai by train 16102 coach S4-46. My berth is very dirty(some one vomitted on the birth).,3,0,0
@RailMinIndia irctc is not responding at the time of tatkal booking.,8,0,1
@DRMbhopal @RailMinIndia @sanjaygupta2012 @drmncrald Matter notified to concerned official @BhusavalDivn,1,0,-1
@RailMinIndia If you can't give justice to graduate engineers then just do one thing at least. Stop recruiting B. Tech. as SSE.,8,0,0
@sureshpprabhu @RailMinIndiaPlz wrkout smthng tht cn hlp trains to run on right time.Malwa exprs delayed more than 3 hrs @ Mathura junction,2,0,1
@RailMinIndia @mumbairailusers Dirty water flowing ftm blower of local coach aft 1st rain. 8.08 Thane Vashi https://t.co/mBZUOFkLXQ,3,0,1
Enter to win $150 Amazon Gift Card! #Books #PNR #UrbanFantasy #Romance https://t.co/jBfXzDe7P2,0,0,-1
@RailMinIndia still vendors are selling local local products like water etc. inside the train https://t.co/wdFyLlmMek,8,0,1
@Central_Railway @RailMinIndia @drmmumbaicr please update the status of today 12141 LTT PPTA EXPRESS departure from LTT.,8,0,0
@RailMinIndia #Swatch Bharat Abhiyaan# Train stops at kozhikod(calicut) but no one comes in 12218 coachA1 #no water# https://t.co/h5uUdJuvel,8,0,0
@RailMinIndia @sureshpprabhu my reserved ticket was been allotted to RAC passenger as we boarded from next station. Kindly please help ??,4,0,0
@RailMinIndia  update:- today intercity 12930 late 16 min?,1,0,-1
@RailMinIndia  TRAIN NO 12656 THERE IS NO PROPER WATER SERVICE IN TRAIN KINDLY LOOK INTO MATTER.. https://t.co/VIQmURi8HK,7,0,0
The Google i1 button is used 5 billion times pnr day. (source: AllTwitter),0,0,-1
"@RailMinIndia Sir, ?? ?????? ????? ?????? ?? ?????????? ?? 6 ?? water point ???? ???? ??? ?? ??? ???  ?????? ??????. https://t.co/sMfHUZdN2U",0,0,-1
@RailMinIndia Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.,1,0,-1
@sureshpprabhu  @RailMinIndia student's pnr 2119025096 Not confirmed Tkt counter@ Raeberali denying refund sayin  he is late to reach window,4,0,0
"@RailMinIndia Dear Sir, my father is a senior citizen and is a patient too.Travelling alone and his seat is not confirmed but is having RAC.",4,0,1
@sureshpprabhu @RailMinIndiaTrain EMU 64439 Ghaziabad to New Delhi daily late.Kindly check &amp; resolved issue.,2,0,1
@RailMinIndia  travelling from Howrah to cuttack in 12073 Jan Shatabdi exp in coach no C2. There is no cleanliness in the coach.,3,0,0
@RailMinIndia there is no water n clear in Train No 12656 PNR 4837665503 please look into matter seriously,7,0,1
@RailMinIndia hi sir.i need help from u.my wife and my son of 4years is hvng waiting ticket 4-1st AC of pnr 2119063322of bilaspur rajhdhani,4,0,0
"@RailMinIndia @drmbct @sureshpprabhu paschim express, vendor doesn't give food mentioned in the menu, so ppl have no option 2 food of choice",7,0,1
"@RailMinIndia hello sir I want going to village, I have no money buy of ticket .what i do plz help me",1,0,-1
RT @prateekpharmpt: @RailMinIndia Everyday magadh exp 12401 running late 3to 5 hrs without any reson.  Is anyome have responsibility. Pâ¦ ,2,0,1
"@RailMinIndia @sureshpprabhu My bro lost his luggage, luks like by rail officials at dindigul station. PNR:4840503630,ph. 9994437217,pl help",7,0,1
@RailMinIndia @vivek05102229 Kindly share PNR number &amp; contact number.,1,0,-1
"@RailMinIndia in train no. 12183, there is no water i. Coach no. SE-4 for use in toilets",7,0,0
@RailMinIndia what's the reason behind the delay of 9 hours of 14312 ala hazrat exp. We had to go back home from station.,2,0,1
@RailMinIndia - pathetic and dirty toilet of B1 and A1 of 22940 bilaspur Hapa express.Please help.,3,0,1
@RailMinIndia @khushalvakharia Poor service by railways.,8,0,0
@RailMinIndia no water in train no. 18104 after running of 5 hrs.,7,0,1
@sureshpprabhu sir if it is further delayed it clash will with academic session @RailMinIndia https://t.co/rOK3sJldqa,2,0,1
@RailMinIndia @sureshpprabhu  frm Jbp to Patna pnr 83478 48608.will this reach on time?It is ruing like pasr not SF :(.tol disappointing,2,0,1
@RailMinIndia  I tried to cancel my I ticket before chart preparation. But due to login problem i was unable to do so Pnr no. is-2119194363,4,0,0
"I applaud Indian Railway 4commendable service.We had issue with charging pt, attendants quickly came,plucked entireâ¦ https://t.co/IenAa6lzLj",1,0,-1
@RailMinIndia @RupSgsits @ed_eeg @drmsbc Matter notified to officials concerned @electrlbzascr,1,0,-1
@sureshpprabhu @RailMinIndia   train no. 12497 stuck at bhodwal st. And no one to help . No one is telling the reasone for delay . PL. HELP,2,0,1
@RailMinIndia Railway was never been so irresponsible. so called fake development is happening. railway was never been so irresponsible. ????,8,0,0
"@sureshpprabhu @RailMinIndia @IRCTC_Ltd plz hlp,He is missing since 15 days&amp; today sum1 has seen him at ADI station https://t.co/FHSjhfKb4L",6,0,1
@sureshpprabhu @RailMinIndia PNR 2119050261 train no. 12472 coach A1 ac is not working since the start of journey from Jammu Tavi,7,0,0
"@sureshpprabhu sir at Old Delhi Railway station bag scanning machine not working,no checkpoint for luggage check.@RailMinIndia.",6,0,2
"@RailMinIndia it means make extra late a train running late by 3.00 hrs. In summer season, not in winter when too much fog was in atmosphere",2,0,0
@RailMinIndia RPF at some serious eating business. Pantry is for them not for passengers. Shri Shakti exp today https://t.co/L7xnUt8d78,8,0,0
@RailMinIndia @sureshpprabhu : TT should regularly visit First Class for pass/ticket checking...,8,0,0
@RailMinIndia @srdcmbsb @gmner_gkp Pls tell me T. no 55150 will originate today from BCY or not?,1,0,-1
@RailMinIndia below stated train waste almost one and half hour on platform please try to fix up less time!!! Help https://t.co/eFBcgrduwr,2,0,0
@sureshpprabhu @RailMinIndia IRCTC canteen in mysore selling water 5rs more than MRP. Just bought for 20/- https://t.co/yPfqZfPA17,8,0,1
"@sureshpprabhu ?? iam also Indian citizen and Tandur station also in India.... No action, no reply, no water @RailMinIndia @SCRailwayIndia",7,0,0
@RailMinIndia 18237 engine failed at silyari they still making the announcement that train is coming they should announce the expected time,2,0,1
@rpfcrsur @RailMinIndia how many months or should i say years should i wait for the Conscience of #CORRUPT #ROTTENâ¦ https://t.co/2h0v7KWzgy,0,0,-1
"@RailMinIndia @sanjaygupta2012 Train handled over late by more than 6 hours from previous division, @drmjabalpur @drmncrald  kindly update.",2,0,1
@RailMinIndia @sureshpprabhuSir at new delhi station only one counter is working for platform ticket... huge line nd people waiting..,4,0,1
@RailMinIndia @PiyushGoyal @RailwayNorthern My parents are travelling in 15231 pnr no. 6408164808 the coach S5 is nâ¦ https://t.co/Ig9TPufytc,1,0,-1
@RailMinIndia @sureshpprabhu I want to know y the waiting list ticket can't be cancelled at the same time of departure of the train?,4,0,0
@RailMinIndia @drmumb 14208 held up between bareilly and shahjanpur. Delayd by 2.5 hrs. No other train on route is delyd. Y 14208 victimizd?,2,0,0
@sureshpprabhu @RailMinIndia I Request for doctor for pain killer injection at rewari stn in 19718 no one arrived its urgent matter,5,0,2
"@RailMinIndia  Train no: 12017. Pnr: 2646724070. Reserved 2 tckts, 1 wtng. If only chair seats, then why allow waiting in shatabdi trains.",4,0,0
"@RailMinIndia @sureshpprabhu pnr no: 8747892216,train no : 22981, Coach:S7, All Fan is not working in coach S7, mercury is too high,plz help",7,0,1
@RailMinIndia tried tatkal booking for Delhi Goa Rajdhani at Jalandar city railway station but was not supported by the staff,4,0,0
"@sureshpprabhu @RailMinIndia i m hvng ac with irctc &amp; today i ws loged in at 8am,i hv seen da within 8.01 am all ac tickets r sold.",4,0,0
"@RailMinIndia @sureshpprabhu incorrect TDR claim prcsd..rqst hve a look TDR no. 100000105731626, train 3+ hr late https://t.co/BBStWoiDpe",2,0,0
"@RailMinIndia sir,train is 4 hrs late .train no is 15623.I have also to attend the train guwahaty naharlagun intercity express for itanagar.",2,0,1
@sureshpprabhu @RailMinIndia Train no. 12344 Coach B3. TT accepted bribe &amp; allotted seats to W/L passengers instead of RAC seats.@gm_nfr,4,0,2
@RailMinIndia @RahmanAnsariBOI @drmlko25 Kindly look into this,1,0,-1
@sureshpprabhu @RailMinIndia @narendramodi screen img @06.46 am 09.06.2016 FYR. No TatkaL quota without opng. GREAT! https://t.co/8YpfwlbzRt,4,0,0
@RailMinIndia @rajtoday @Akkibhatkar @Shrikant2025 @ThaneMt @thane_now @MumbraKiAwaam @PiyushGoyal @mumbairailusersâ¦ https://t.co/jLmGKbbWyO,0,0,-1
RT @KARailway: Provide 1min stoppage for Karnataka Sampark Kranthi at #Haveri @DrmMys @GMSWR @RailMinIndia @PiyushGoyalOffcâ¦ ,8,0,0
"@RailMinIndia ????? ???? 22415 , current location ????????? , B6 coach , AC ???? ?? ???, ??? ??? ??? ????",0,0,-1
@RailMinIndia amount debited but reservation failed. Request support  and pay back of entire amount https://t.co/9pH2Vft28L,4,0,0
@sureshpprabhu Pls consider having more nos western toilets in 2/3 Ac coaches as many elderly travel who hv  problems. @RailMinIndia Thnx,8,0,1
@sureshpprabhu @RailMinIndia I am a mother travelling with a 6 month kid is given an upper berth instead of providing the details of baby.,7,0,1
@sureshpprabhu @RailMinIndia thanks for give attention on meerut 2 saharanpur railway line ..,1,0,-1
@RailMinIndia @sureshpprabhu many will be benifited thanks a lot sir,1,0,-1
@RailMinIndia  traveling in 12506 dt 11/06/16  in S3 toilets fully dirty and no water in toiletKindly arrange help urgentlyPNR 264-7351440,3,0,0
@RailMinIndia train time changed not informed family stuck in Mangalore. Pls add time  to sms https://t.co/38vnoZVOHC,2,0,1
@RailMinIndia @sureshpprabhu I had heard that irctc will not charge Service charge from 1/6/16 on online ticket but u r still deducting!!!!!,8,0,1
"@RailMinIndia tatkal service is d biggest garbage. Plz close this service,@11:05 website is not working,showing an error.",8,0,0
@RailMinIndia @sureshpprabhu I got my ticketThanku  problem solved by CERS Bilimora PRS. I withdraw my complaint.. https://t.co/TKisGN6uNY,1,0,-1
"tt declining to accept the college id a true id , higher authorities do act pnr 4512791357",7,0,0
"@RailMinIndia I am traveling by train no 12590 coach no S-8, fans are not working i had told this  at last station but no one attended.",7,0,1
@RailMinIndia concern over the late running of 14205 n 14206. Never reaches in time at either of station. Pl check ur data. A real concern,2,0,1
"@RailMinIndia travelling in train no 18623,Pnr 6252708712 1st class b coach, paid around 1700,  AC is not working properly@sureshpprabhu",7,0,1
@RailMinIndia How it possible in Tatkal that all the 256 Available Garib Rath seats r booked within 1.5 min.? Is there any hidden tricks?,8,0,1
RT @IndiaBTL: Why is @RailMinIndia procuring Congress mouthpiece National Herald (priced a hefty Rs. 20/piece) &amp; providing it toâ¦ ,1,0,-1
"@sureshpprabhu Sir, need ur kind assistance. A cancer patient hs a tatkal ticket of status CKWL/19,20. Can u plz do something? @RailMinIndia",4,0,1
@RailMinIndia Hello sir mai is time malwa express train number 12919 me hu abhi vendor se khane ke rate pucha usneâ¦ https://t.co/fJBoC3R5yR,8,4,0
@RailMinIndia Pls confirm whn we will reach as we need to attend the function and if it is late schedule arrival at Barelliye,2,0,0
@RailMinIndia Travel wth my mother can't walk properly. Can the PTB stoppage be extended by 2 mins PNR No. :2118501258Train No. 12618.,8,0,1
"@RailMinIndia  Sir, We lost a mobile with bearing No 9442455386 while travelling in Pothigai express Train No 12661 today at 5.15 am",8,0,0
@RailMinIndia @drmnfr_lmg @IR_ENHM till now no action has been taken,8,0,0
"RT @irctcwestzone: @RailMinIndia @Sivaram15064430 Inconvenience regretted, matter is being taken up for further necessary action",1,0,-1
@RailMinIndia I ask city police constable allowed without ticket and without authority in any coach in train,8,0,0
